lemma,noun_count,verb_count,majority_tag,total_count,minority_count,minority_ratio,is_flexible,nv_cosine_similarity,n_variation,v_variation
avoir,1637,17653,VERB,19290,1637,0.08486262312078797,True,0.5751999020576477,9.7621431350708,11.945122718811035
partie,13296,5851,NOUN,19147,5851,0.3055831200710294,True,0.6729189157485962,11.884392738342285,10.763204574584961
faire,2138,14895,VERB,17033,2138,0.12552104737861797,True,0.8254260420799255,11.056965827941895,11.209826469421387
pouvoir,1235,12927,VERB,14162,1235,0.08720519700607259,True,0.5742359161376953,7.904562950134277,10.595458984375
être,3910,5491,VERB,9401,3910,0.4159132007233273,True,0.820753812789917,12.610146522521973,12.123453140258789
étude,6255,2432,NOUN,8687,2432,0.27995855876597214,True,0.8117454051971436,9.678781509399414,9.46102523803711
mourir,3217,4990,VERB,8207,3217,0.3919824540026806,True,0.8124595880508423,8.91355037689209,9.909655570983887
mettre,1256,5476,VERB,6732,1256,0.1865715983363042,True,0.8615736961364746,9.433422088623047,11.481084823608398
voir,1367,5081,VERB,6448,1367,0.21200372208436724,True,0.6771251559257507,10.320794105529785,11.500296592712402
prendre,673,5570,VERB,6243,673,0.10780073682524427,True,0.7918459177017212,9.190832138061523,10.809338569641113
place,4599,1221,NOUN,5820,1221,0.2097938144329897,True,0.6743825674057007,10.748648643493652,10.108783721923828
forme,2721,2910,VERB,5631,2721,0.4832179009057006,True,0.7010101675987244,9.627533912658691,10.831141471862793
donner,1040,4504,VERB,5544,1040,0.18759018759018758,True,0.5405230522155762,7.693402290344238,11.442702293395996
sortir,1676,3695,VERB,5371,1676,0.31204617389685346,True,0.7462116479873657,11.275361061096191,10.114768028259277
porter,1378,3012,VERB,4390,1378,0.31389521640091117,True,0.7459810972213745,9.460297584533691,11.523621559143066
participer,311,4027,VERB,4338,311,0.07169202397418165,True,0.720975399017334,7.549799919128418,9.557524681091309
base,2387,1920,NOUN,4307,1920,0.4457859298815881,True,0.7020400166511536,9.395671844482422,10.219317436218262
rester,974,3216,VERB,4190,974,0.2324582338902148,True,0.7873649001121521,9.737492561340332,10.240464210510254
produire,1246,2862,VERB,4108,1246,0.30331061343719573,True,0.746613621711731,8.52712345123291,10.705240249633789
représenter,1122,2929,VERB,4051,1122,0.27696864971611945,True,0.7704091668128967,9.387033462524414,10.759676933288574
classer,2540,1469,NOUN,4009,1469,0.36642554252930903,True,0.6178531646728516,9.60473918914795,10.517452239990234
armée,3202,779,NOUN,3981,779,0.1956794775182115,True,0.6263336539268494,8.297532081604004,9.415543556213379
passer,524,3376,VERB,3900,524,0.13435897435897437,True,0.8004789352416992,9.993244171142578,10.992135047912598
œuvre,3624,262,NOUN,3886,262,0.06742151312403499,True,0.87572181224823,10.259742736816406,9.795660018920898
composer,449,3381,VERB,3830,449,0.11723237597911228,True,0.6922659277915955,10.545804977416992,10.719791412353516
écrire,341,3188,VERB,3529,341,0.09662793992632474,True,0.795369565486908,8.259599685668945,10.379780769348145
compter,1206,2232,VERB,3438,1206,0.3507853403141361,True,0.7978876233100891,10.739227294921875,10.437738418579102
entrer,1140,2271,VERB,3411,1140,0.33421284080914687,True,0.7780560255050659,8.429243087768555,11.001459121704102
force,2972,438,NOUN,3410,438,0.1284457478005865,True,0.5664345026016235,9.527377128601074,11.116548538208008
diriger,596,2648,VERB,3244,596,0.18372379778051787,True,0.7661529779434204,9.270793914794922,10.403558731079102
soutenir,1200,2034,VERB,3234,1200,0.37105751391465674,True,0.7358065843582153,7.897945880889893,10.25777816772461
livre,2722,485,NOUN,3207,485,0.1512316806984721,True,0.6152020692825317,8.21422290802002,9.862704277038574
rencontrer,1380,1751,VERB,3131,1380,0.4407537527946343,True,0.7465065717697144,9.531407356262207,10.664119720458984
élire,165,2960,VERB,3125,165,0.0528,True,0.7879958152770996,7.526007652282715,9.035294532775879
siège,2629,365,NOUN,2994,365,0.12191048764195057,True,0.8129441142082214,9.593936920166016,9.551324844360352
entreprise,2356,612,NOUN,2968,612,0.20619946091644206,True,0.7198526859283447,7.917197227478027,10.932957649230957
recherche,2754,208,NOUN,2962,208,0.07022282241728561,True,0.8011196851730347,8.80002498626709,10.399736404418945
attaque,1634,1088,NOUN,2722,1088,0.3997060984570169,True,0.81710284948349,8.34220027923584,10.428511619567871
arriver,823,1865,VERB,2688,823,0.30617559523809523,True,0.7940782308578491,8.520563125610352,10.681543350219727
reprendre,1034,1640,VERB,2674,1034,0.38668661181750186,True,0.6341822147369385,9.125752449035645,9.875926971435547
date,1393,1198,NOUN,2591,1198,0.462369741412582,True,0.7401469349861145,9.961694717407227,10.690937042236328
mesure,1945,551,NOUN,2496,551,0.22075320512820512,True,0.7857102155685425,9.591265678405762,9.965264320373535
épouse,1052,1424,VERB,2476,1052,0.42487883683360256,True,0.8402529954910278,8.454442024230957,8.494808197021484
charger,1139,1327,VERB,2466,1139,0.46188158961881587,True,0.6690681576728821,9.159568786621094,9.821982383728027
commander,1654,809,NOUN,2463,809,0.32846122614697526,True,0.740519642829895,9.146474838256836,10.632917404174805
demander,914,1548,VERB,2462,914,0.37124289195775795,True,0.8263102769851685,7.59898567199707,9.245942115783691
aide,1319,1134,NOUN,2453,1134,0.462291072156543,True,0.7839083075523376,8.7891845703125,9.748295783996582
marquer,773,1489,VERB,2262,773,0.34173297966401417,True,0.7032333016395569,8.176941871643066,10.915931701660156
découvrir,592,1661,VERB,2253,592,0.26276076342654237,True,0.8392398953437805,9.546560287475586,9.955272674560547
annoncer,212,2040,VERB,2252,212,0.0941385435168739,True,0.8312740325927734,7.098315715789795,8.344079971313477
coupe,1969,189,NOUN,2158,189,0.08758109360519,True,0.5937135815620422,9.587614059448242,8.625744819641113
tenir,239,1883,VERB,2122,239,0.11262959472196042,True,0.8128488063812256,9.60997486114502,11.679635047912598
élever,876,1053,VERB,1929,876,0.45412130637636083,True,0.6947675943374634,9.181809425354004,11.109874725341797
revenir,464,1397,VERB,1861,464,0.2493283181085438,True,0.586652398109436,7.573075294494629,9.67696475982666
traiter,1126,718,NOUN,1844,718,0.3893709327548807,True,0.8041986227035522,8.651042938232422,9.696166038513184
critique,1373,429,NOUN,1802,429,0.23806881243063263,True,0.7067770957946777,9.240388870239258,10.096141815185547
combat,1383,418,NOUN,1801,418,0.23209328151027206,True,0.858144998550415,8.498299598693848,8.944196701049805
cause,1224,538,NOUN,1762,538,0.30533484676503975,True,0.6280443668365479,10.077258110046387,11.139138221740723
signer,307,1452,VERB,1759,307,0.17453098351335986,True,0.7122337818145752,8.255480766296387,9.47289752960205
contrôle,1224,479,NOUN,1703,479,0.28126834997064004,True,0.7445770502090454,7.638303756713867,9.906169891357422
habitant,1339,351,NOUN,1690,351,0.2076923076923077,True,0.5780869722366333,7.743248462677002,9.358743667602539
marché,1533,144,NOUN,1677,144,0.08586762075134168,True,0.784544050693512,9.13766860961914,9.030671119689941
contenir,370,1295,VERB,1665,370,0.2222222222222222,True,0.6651502847671509,7.517862796783447,10.443099021911621
