lemma,noun_count,verb_count,majority_tag,total_count,minority_count,minority_ratio,is_flexible,nv_cosine_similarity,n_variation,v_variation
look,717,6009,VERB,6726,717,0.10660124888492417,True,0.9953441023826599,1.8370240926742554,3.748236894607544
use,791,2816,VERB,3607,791,0.2192958136955919,True,0.997200071811676,1.8491140604019165,2.3848419189453125
work,1668,1603,NOUN,3271,1603,0.49006420055029043,True,0.9983316659927368,1.640956163406372,2.3245532512664795
need,591,2362,VERB,2953,591,0.20013545546901457,True,0.9958974719047546,2.2658700942993164,2.3000621795654297
point,1539,485,NOUN,2024,485,0.23962450592885376,True,0.9957310557365417,2.2528200149536133,2.054525375366211
place,1664,355,NOUN,2019,355,0.17582961862308075,True,0.9961737990379333,2.4634485244750977,2.3642616271972656
hand,1881,136,NOUN,2017,136,0.06742687159147248,True,0.9941157698631287,2.7126524448394775,1.8490216732025146
show,132,1857,VERB,1989,132,0.06636500754147813,True,0.9968647360801697,1.9130654335021973,2.3178539276123047
turn,227,1632,VERB,1859,227,0.12210866057019903,True,0.9964991807937622,2.1484429836273193,2.798518180847168
sort,1613,216,NOUN,1829,216,0.1180973209404046,True,0.9928516745567322,2.610382556915283,2.7326998710632324
call,210,1570,VERB,1780,210,0.11797752808988764,True,0.9947202205657959,1.8816035985946655,2.681703567504883
change,892,871,NOUN,1763,871,0.49404424276800907,True,0.9980501532554626,2.0273046493530273,2.0824055671691895
form,1272,358,NOUN,1630,358,0.2196319018404908,True,0.9942973256111145,1.9601521492004395,2.261712074279785
face,1269,289,NOUN,1558,289,0.18549422336328628,True,0.9951510429382324,1.6648110151290894,2.8227005004882812
head,1437,98,NOUN,1535,98,0.06384364820846905,True,0.9952723979949951,1.9278209209442139,2.2707951068878174
talk,119,1314,VERB,1433,119,0.08304256803907886,True,0.9981141090393066,2.092092514038086,2.3983263969421387
start,160,1272,VERB,1432,160,0.11173184357541899,True,0.9983012676239014,2.076537609100342,2.0027458667755127
end,1181,245,NOUN,1426,245,0.1718092566619916,True,0.9968191981315613,2.097649335861206,2.5119810104370117
move,132,1288,VERB,1420,132,0.09295774647887324,True,0.9980977773666382,1.8551948070526123,2.0613017082214355
question,1314,103,NOUN,1417,103,0.07268877911079746,True,0.9966696500778198,2.719261646270752,1.6263427734375
hold,130,1269,VERB,1399,130,0.09292351679771266,True,0.9946842193603516,2.0705161094665527,3.3819429874420166
mind,740,621,NOUN,1361,621,0.4562821454812638,True,0.9818366765975952,1.8415985107421875,4.834665298461914
record,1060,276,NOUN,1336,276,0.20658682634730538,True,0.9974377751350403,2.29377818107605,1.8992315530776978
play,186,1107,VERB,1293,186,0.14385150812064965,True,0.9985362887382507,2.2868847846984863,2.6635043621063232
study,1037,218,NOUN,1255,218,0.17370517928286852,True,0.9968039989471436,1.9606095552444458,2.0212652683258057
run,152,1021,VERB,1173,152,0.12958226768968456,True,0.9975564479827881,2.251267910003662,2.9279356002807617
help,204,911,VERB,1115,204,0.18295964125560538,True,0.9983389377593994,1.696816086769104,2.393503427505493
walk,152,958,VERB,1110,152,0.13693693693693693,True,0.9973788261413574,1.4993257522583008,1.9153867959976196
name,993,113,NOUN,1106,113,0.10216998191681737,True,0.9939448833465576,2.256772518157959,3.326871633529663
watch,121,969,VERB,1090,121,0.11100917431192661,True,0.9955997467041016,1.5444375276565552,3.7627573013305664
love,498,582,VERB,1080,498,0.46111111111111114,True,0.9980472922325134,1.730017900466919,2.595773458480835
stop,74,996,VERB,1070,74,0.0691588785046729,True,0.9976257681846619,2.286741018295288,2.7887392044067383
book,982,79,NOUN,1061,79,0.07445805843543826,True,0.9953433275222778,1.7307615280151367,1.4477953910827637
set,392,654,VERB,1046,392,0.37476099426386233,True,0.9965255260467529,1.818552851676941,2.216008186340332
