lemma,noun_count,verb_count,majority_tag,total_count,minority_count,minority_ratio,is_flexible,nv_cosine_similarity,n_variation,v_variation
use,4918,20449,VERB,25367,4918,0.19387393069736272,True,0.8244255185127258,8.749300956726074,10.588383674621582
be,2244,14854,VERB,17098,2244,0.13124342028307404,True,0.4055975079536438,16.133386611938477,11.252191543579102
know,8253,8364,VERB,16617,8253,0.49666004693988086,True,0.11149533838033676,9.9325532913208,9.83738899230957
state,7797,2844,NOUN,10641,2844,0.2672681138990696,True,0.5648671388626099,10.5653076171875,12.447245597839355
work,5700,4110,NOUN,9810,4110,0.41896024464831805,True,0.8683788776397705,10.416254043579102,12.334090232849121
write,2713,6315,VERB,9028,2713,0.300509525919362,True,0.786688506603241,12.736563682556152,11.293258666992188
call,696,8039,VERB,8735,696,0.07967945048654837,True,0.7287815809249878,10.215282440185547,8.910268783569336
form,4877,3752,NOUN,8629,3752,0.4348128404218334,True,0.8399159908294678,9.8529052734375,11.818683624267578
name,5757,2746,NOUN,8503,2746,0.32294484299658943,True,0.5798417329788208,9.25571060180664,8.899909973144531
life,5386,2693,NOUN,8079,2693,0.3333333333333333,True,0.5385750532150269,11.384185791015625,12.260025024414062
base,2829,5238,VERB,8067,2829,0.3506879880996653,True,0.42979180812835693,13.656454086303711,8.846089363098145
begin,947,5907,VERB,6854,947,0.1381674934344908,True,0.7154573798179626,9.626910209655762,10.156171798706055
lead,560,6049,VERB,6609,560,0.08473293993039795,True,0.7992422580718994,9.640761375427246,11.11011028289795
film,5655,378,NOUN,6033,378,0.0626553953257086,True,0.6556298732757568,9.15756607055664,11.141762733459473
play,1323,4487,VERB,5810,1323,0.22771084337349398,True,0.8673641681671143,9.965843200683594,11.078310012817383
force,4432,1331,NOUN,5763,1331,0.23095609925386085,True,0.4987908601760864,11.127058982849121,10.486665725708008
end,3925,1818,NOUN,5743,1818,0.3165592895699112,True,0.7915443181991577,8.685782432556152,11.303462028503418
result,3435,2210,NOUN,5645,2210,0.39149689991142606,True,0.7592782378196716,10.352734565734863,11.217966079711914
term,5324,285,NOUN,5609,285,0.0508111962916741,True,0.41040098667144775,10.798959732055664,8.216249465942383
show,1955,3536,VERB,5491,1955,0.3560371517027864,True,0.8268145322799683,9.625208854675293,11.703204154968262
power,5136,271,NOUN,5407,271,0.05012021453671167,True,0.586649477481842,10.947481155395508,10.346772193908691
support,2354,2781,VERB,5135,2354,0.45842259006815966,True,0.8967410922050476,9.233893394470215,11.313576698303223
place,3582,1544,NOUN,5126,1544,0.30120952009364027,True,0.6426924467086792,9.685620307922363,11.207085609436035
set,2801,2227,NOUN,5028,2227,0.44291964996022276,True,0.9567817449569702,11.051876068115234,10.065889358520508
build,2055,2837,VERB,4892,2055,0.420073589533933,True,0.6318216323852539,10.607114791870117,10.067414283752441
change,2669,2074,NOUN,4743,2074,0.43727598566308246,True,0.8976529836654663,10.440909385681152,10.82791805267334
order,3806,902,NOUN,4708,902,0.19158878504672897,True,0.7214604616165161,9.61860466003418,9.757448196411133
record,3140,1554,NOUN,4694,1554,0.33106092884533445,True,0.7363814115524292,12.55466365814209,10.368986129760742
hold,408,4266,VERB,4674,408,0.08729139922978177,True,0.8704612255096436,12.917224884033203,10.115835189819336
mean,1737,2930,VERB,4667,1737,0.37218770087850866,True,0.9491990208625793,12.880684852600098,12.850043296813965
point,4072,546,NOUN,4618,546,0.11823300129926376,True,0.8289283514022827,10.139867782592773,12.649528503417969
increase,1004,3521,VERB,4525,1004,0.22187845303867404,True,0.88956618309021,9.75108814239502,10.935035705566406
release,1234,3249,VERB,4483,1234,0.27526210127147,True,0.8099077343940735,9.477286338806152,9.239058494567871
remain,400,3852,VERB,4252,400,0.09407337723424271,True,0.7972060441970825,8.683759689331055,11.620047569274902
study,2916,1243,NOUN,4159,1243,0.29886992065400336,True,0.8346152305603027,10.92116928100586,11.173789024353027
leave,640,3389,VERB,4029,640,0.15884834946636883,True,0.8743321895599365,13.61311149597168,11.461722373962402
control,2583,1343,NOUN,3926,1343,0.34207845134997455,True,0.8606650829315186,9.698020935058594,11.657692909240723
cause,993,2863,VERB,3856,993,0.2575207468879668,True,0.8289543986320496,9.770625114440918,11.127143859863281
do,195,3628,VERB,3823,195,0.051007062516348414,True,0.634056031703949,15.917442321777344,12.490711212158203
design,2164,1623,NOUN,3787,1623,0.42857142857142855,True,0.7455297112464905,10.048811912536621,9.450990676879883
win,319,3397,VERB,3716,319,0.08584499461786868,True,0.8777047991752625,11.100677490234375,11.075203895568848
start,708,2967,VERB,3675,708,0.1926530612244898,True,0.8542951345443726,10.062692642211914,11.163737297058105
process,3385,276,NOUN,3661,276,0.0753892379131385,True,0.7289727926254272,11.221226692199707,12.907292366027832
rule,2479,1154,NOUN,3633,1154,0.3176438205339939,True,0.7210334539413452,11.855408668518066,11.840676307678223
lose,1304,2200,VERB,3504,1304,0.3721461187214612,True,0.678631603717804,10.878122329711914,10.385539054870605
run,891,2595,VERB,3486,891,0.25559380378657487,True,0.9431359767913818,10.61107063293457,11.90514850616455
feature,1658,1808,VERB,3466,1658,0.4783612233121754,True,0.8027331233024597,10.632523536682129,11.469310760498047
land,3163,296,NOUN,3459,296,0.08557386527898236,True,0.735324501991272,11.906865119934082,11.721210479736328
move,496,2912,VERB,3408,496,0.14553990610328638,True,0.8870646953582764,10.366840362548828,10.705809593200684
return,885,2498,VERB,3383,885,0.2616021282885013,True,0.8969565033912659,9.654487609863281,10.277578353881836
report,1483,1680,VERB,3163,1483,0.46885867846980717,True,0.7924462556838989,10.329503059387207,9.963661193847656
function,2909,177,NOUN,3086,177,0.057355800388852886,True,0.7870205044746399,9.780424118041992,13.067315101623535
claim,1083,1938,VERB,3021,1083,0.3584905660377358,True,0.8868425488471985,10.035654067993164,10.259323120117188
influence,1827,1194,NOUN,3021,1194,0.3952333664349553,True,0.749927818775177,8.963847160339355,9.444371223449707
issue,2006,923,NOUN,2929,923,0.31512461590986685,True,0.5514852404594421,10.633662223815918,10.03869342803955
