lemma,noun_count,verb_count,majority_tag,total_count,minority_count,minority_ratio,is_flexible,nv_cosine_similarity,n_variation,v_variation
هَدَف,6059,659,NOUN,6718,659,0.09809467103304555,True,0.7003418803215027,11.069406509399414,10.660611152648926
قَدَّم,873,4685,VERB,5558,873,0.1570708888089241,True,0.7156569361686707,7.870837688446045,10.964808464050293
حَدّ,5139,395,NOUN,5534,395,0.07137694253704373,True,0.6827342510223389,10.391278266906738,9.485352516174316
حَدَث,1999,2760,VERB,4759,1999,0.4200462281992015,True,0.7141013145446777,9.7356595993042,9.158673286437988
شَكَّل,306,3873,VERB,4179,306,0.0732232591529074,True,0.8454052209854126,9.476236343383789,11.052759170532227
نَظَر,3242,596,NOUN,3838,596,0.1552892131318395,True,0.5610325336456299,10.995064735412598,10.486947059631348
وَلَد,2032,1765,NOUN,3797,1765,0.4648406636818541,True,0.8189783692359924,7.8055548667907715,10.080021858215332
أَصل,3361,431,NOUN,3792,431,0.11366033755274262,True,0.8614473342895508,11.089143753051758,8.530523300170898
وَضع,3363,306,NOUN,3669,306,0.08340147179067865,True,0.873638391494751,9.965412139892578,7.821794509887695
ضَمّ,528,3082,VERB,3610,528,0.14626038781163436,True,0.6293489336967468,8.0098876953125,11.207984924316406
طَلَب,1479,1775,VERB,3254,1479,0.4545175169022741,True,0.8733774423599243,9.223611831665039,9.804149627685547
نَقل,2768,252,NOUN,3020,252,0.08344370860927153,True,0.8987857103347778,7.915515422821045,8.488396644592285
حَمَل,435,2400,VERB,2835,435,0.15343915343915343,True,0.7704319953918457,10.14692211151123,11.070647239685059
دَخَل,231,2552,VERB,2783,231,0.08300395256916997,True,0.9267357587814331,9.502445220947266,10.614962577819824
حَال,2378,328,NOUN,2706,328,0.12121212121212122,True,0.7182607650756836,11.515931129455566,10.609253883361816
كَتَب,211,2403,VERB,2614,211,0.08071920428462127,True,0.9302621483802795,8.382068634033203,9.656228065490723
عَرض,2350,155,NOUN,2505,155,0.06187624750499002,True,0.8577567934989929,10.133362770080566,8.107221603393555
أَسَاس,2310,141,NOUN,2451,141,0.05752753977968176,True,0.6750708818435669,10.94804573059082,9.918341636657715
حَلّ,1688,745,NOUN,2433,745,0.3062063296341965,True,0.8746267557144165,9.092082023620605,10.501855850219727
رَدّ,1211,1167,NOUN,2378,1167,0.4907485281749369,True,0.8891264200210571,9.677884101867676,9.267613410949707
لَقَب,2158,135,NOUN,2293,135,0.05887483645878761,True,0.8460640907287598,9.417277336120605,8.493648529052734
دَار,1305,949,NOUN,2254,949,0.4210292812777285,True,0.677986204624176,9.068730354309082,11.58875560760498
جَبَل,2066,181,NOUN,2247,181,0.08055184690698709,True,0.8760316371917725,8.022327423095703,8.102072715759277
نَصّ,1442,627,NOUN,2069,627,0.3030449492508458,True,0.7399281859397888,10.657620429992676,11.32929801940918
وَضَع,179,1753,VERB,1932,179,0.09265010351966874,True,0.9508001208305359,9.253546714782715,10.475541114807129
حَكَم,629,1299,VERB,1928,629,0.3262448132780083,True,0.8492594957351685,8.630179405212402,11.055909156799316
عَقد,1743,126,NOUN,1869,126,0.06741573033707865,True,0.8793256878852844,10.934977531433105,8.235387802124023
عَرَض,220,1642,VERB,1862,220,0.11815252416756176,True,0.9315807819366455,9.345261573791504,10.620796203613281
ذَهَب,751,1102,VERB,1853,751,0.40528872099298435,True,0.552486777305603,7.315615177154541,11.059514045715332
مَال,1604,237,NOUN,1841,237,0.1287343834872352,True,0.6862971782684326,10.384491920471191,10.041419982910156
نَشَر,195,1496,VERB,1691,195,0.1153163808397398,True,0.9243771433830261,8.566255569458008,9.98696231842041
قَتَل,312,1377,VERB,1689,312,0.1847246891651865,True,0.9670068025588989,8.366935729980469,9.913570404052734
نَشر,1541,92,NOUN,1633,92,0.056338028169014086,True,0.9040524363517761,8.96338939666748,8.165778160095215
نَشَأ,160,1460,VERB,1620,160,0.09876543209876543,True,0.93304842710495,9.474163055419922,10.58664321899414
قَصر,1500,120,NOUN,1620,120,0.07407407407407407,True,0.8596339225769043,9.290555953979492,7.251908302307129
لَون,1452,155,NOUN,1607,155,0.09645301804604854,True,0.8069278597831726,9.968304634094238,7.172092914581299
فَتح,1491,104,NOUN,1595,104,0.0652037617554859,True,0.9225969314575195,9.542086601257324,8.04691219329834
عَين,1461,117,NOUN,1578,117,0.0741444866920152,True,0.7257464528083801,10.336283683776855,8.213251113891602
رَفَض,156,1417,VERB,1573,156,0.09917355371900827,True,0.9733572006225586,8.951763153076172,10.562740325927734
عَلِم,315,1250,VERB,1565,315,0.2012779552715655,True,0.7895116806030273,8.817460060119629,10.81154727935791
قَدَّر,86,1427,VERB,1513,86,0.056840713813615336,True,0.8035726547241211,8.844643592834473,10.720858573913574
شَارِع,1204,204,NOUN,1408,204,0.14488636363636365,True,0.7468063831329346,10.683674812316895,7.6986494064331055
فَصل,1293,110,NOUN,1403,110,0.07840342124019957,True,0.8702935576438904,10.89387035369873,8.51229476928711
جَمع,1268,109,NOUN,1377,109,0.07915758896151052,True,0.9290340542793274,8.762639045715332,7.90569543838501
تَرَك,144,1227,VERB,1371,144,0.1050328227571116,True,0.9226288199424744,8.078879356384277,10.244483947753906
فَرع,1185,166,NOUN,1351,166,0.1228719467061436,True,0.9061628580093384,10.03768253326416,7.799952507019043
دَفَع,84,1251,VERB,1335,84,0.06292134831460675,True,0.8964369297027588,8.0241060256958,10.364590644836426
قَتل,1218,108,NOUN,1326,108,0.08144796380090498,True,0.9270374178886414,9.471758842468262,9.013792037963867
ذِكر,1021,271,NOUN,1292,271,0.20975232198142416,True,0.6943982839584351,10.639947891235352,8.624388694763184
وَجه,1106,155,NOUN,1261,155,0.12291831879460745,True,0.9574846625328064,9.111587524414062,7.705620765686035
أَعَاد,164,1095,VERB,1259,164,0.13026211278792693,True,0.9649819731712341,8.828841209411621,9.980283737182617
قَدر,1156,67,NOUN,1223,67,0.05478331970564186,True,0.9482746720314026,8.189138412475586,9.536218643188477
مَرّ,104,1092,VERB,1196,104,0.08695652173913043,True,0.7945478558540344,9.723840713500977,10.637534141540527
