lemma,noun_count,verb_count,majority_tag,total_count,minority_count,minority_ratio,is_flexible,nv_cosine_similarity,n_variation,v_variation
sang,17610,1424,NOUN,19034,1424,0.07481349164652727,True,0.7621897459030151,9.069211959838867,9.451395988464355
legge,10720,7592,NOUN,18312,7592,0.4145915246832678,True,0.658099353313446,10.701324462890625,11.986591339111328
del,15182,1305,NOUN,16487,1305,0.07915327227512586,True,0.7368815541267395,10.720074653625488,9.930181503295898
spele,1652,14533,VERB,16185,1652,0.10206981773246833,True,0.813605785369873,9.195082664489746,9.509054183959961
bruke,3549,4443,VERB,7992,3549,0.44406906906906907,True,0.8781482577323914,9.572022438049316,9.697364807128906
finne,837,6300,VERB,7137,837,0.11727616645649433,True,0.7067101001739502,9.988612174987793,10.295897483825684
vite,2090,4674,VERB,6764,2090,0.3089887640449438,True,0.6283142566680908,11.104032516479492,10.67255687713623
arbeid,3049,3507,VERB,6556,3049,0.4650701647345943,True,0.8738020658493042,8.799869537353516,8.243535041809082
slutt,3775,1328,NOUN,5103,1328,0.2602390750538899,True,0.696000337600708,10.199764251708984,8.702766418457031
vere,916,4105,VERB,5021,916,0.18243377813184625,True,0.5939136743545532,9.97631549835205,11.519723892211914
bygge,2130,2693,VERB,4823,2130,0.44163383786025295,True,0.8306340575218201,10.028562545776367,11.134450912475586
leiar,2537,1955,NOUN,4492,1955,0.4352181656277827,True,0.8962412476539612,8.96628189086914,10.08545207977295
nytte,215,4069,VERB,4284,215,0.050186741363211954,True,0.6526966094970703,9.065372467041016,8.597970008850098
møte,2378,1890,NOUN,4268,1890,0.44283036551077787,True,0.6707482933998108,11.003312110900879,10.923728942871094
grense,2974,1118,NOUN,4092,1118,0.2732160312805474,True,0.8850468397140503,7.962684154510498,7.753822326660156
form,3506,244,NOUN,3750,244,0.06506666666666666,True,0.8066838383674622,9.365330696105957,9.34361457824707
følge,2047,1668,NOUN,3715,1668,0.4489905787348587,True,0.8711742758750916,9.45679759979248,10.001333236694336
