lemma,noun_count,verb_count,majority_tag,total_count,minority_count,minority_ratio,is_flexible,nv_cosine_similarity,n_variation,v_variation
look,717,6009,VERB,6726,717,0.10660124888492417,True,0.8813393712043762,7.030722618103027,9.702897071838379
use,791,2816,VERB,3607,791,0.2192958136955919,True,0.8536921739578247,8.240226745605469,9.961640357971191
work,1668,1603,NOUN,3271,1603,0.49006420055029043,True,0.8861425518989563,7.69423246383667,8.930015563964844
need,591,2362,VERB,2953,591,0.20013545546901457,True,0.86203932762146,8.422219276428223,8.799073219299316
point,1539,485,NOUN,2024,485,0.23962450592885376,True,0.7654203772544861,8.470796585083008,9.948331832885742
place,1664,355,NOUN,2019,355,0.17582961862308075,True,0.7696605920791626,8.922930717468262,10.009727478027344
hand,1881,136,NOUN,2017,136,0.06742687159147248,True,0.6561168432235718,9.049498558044434,9.069337844848633
show,132,1857,VERB,1989,132,0.06636500754147813,True,0.7878830432891846,8.037750244140625,10.018406867980957
turn,227,1632,VERB,1859,227,0.12210866057019903,True,0.7929030656814575,8.091694831848145,9.151769638061523
sort,1613,216,NOUN,1829,216,0.1180973209404046,True,0.7633006572723389,8.37524700164795,8.98695182800293
call,210,1570,VERB,1780,210,0.11797752808988764,True,0.7953775525093079,7.3451247215271,9.777223587036133
change,892,871,NOUN,1763,871,0.49404424276800907,True,0.868157148361206,7.219532012939453,8.136831283569336
form,1272,358,NOUN,1630,358,0.2196319018404908,True,0.7364545464515686,8.746207237243652,10.007145881652832
face,1269,289,NOUN,1558,289,0.18549422336328628,True,0.7700849175453186,7.451611518859863,10.217350959777832
head,1437,98,NOUN,1535,98,0.06384364820846905,True,0.6622276306152344,8.796838760375977,9.688349723815918
talk,119,1314,VERB,1433,119,0.08304256803907886,True,0.8863298892974854,7.527314186096191,8.474926948547363
start,160,1272,VERB,1432,160,0.11173184357541899,True,0.8586171865463257,7.491767406463623,9.238907814025879
end,1181,245,NOUN,1426,245,0.1718092566619916,True,0.8213392496109009,8.572102546691895,9.637850761413574
move,132,1288,VERB,1420,132,0.09295774647887324,True,0.8540812730789185,6.829344272613525,8.849284172058105
question,1314,103,NOUN,1417,103,0.07268877911079746,True,0.8215535879135132,7.350645542144775,8.833827018737793
hold,130,1269,VERB,1399,130,0.09292351679771266,True,0.7433580756187439,7.101498126983643,9.813719749450684
mind,740,621,NOUN,1361,621,0.4562821454812638,True,0.849031925201416,7.465178966522217,9.16252613067627
record,1060,276,NOUN,1336,276,0.20658682634730538,True,0.7759759426116943,6.937662601470947,8.308612823486328
play,186,1107,VERB,1293,186,0.14385150812064965,True,0.8781396150588989,7.761251926422119,9.021406173706055
study,1037,218,NOUN,1255,218,0.17370517928286852,True,0.806483805179596,7.968067646026611,8.832609176635742
run,152,1021,VERB,1173,152,0.12958226768968456,True,0.8388437032699585,7.498452663421631,9.47360897064209
help,204,911,VERB,1115,204,0.18295964125560538,True,0.8629506230354309,6.728813171386719,8.792532920837402
walk,152,958,VERB,1110,152,0.13693693693693693,True,0.9061270356178284,6.765632629394531,9.023841857910156
name,993,113,NOUN,1106,113,0.10216998191681737,True,0.8160301446914673,7.959052085876465,9.763617515563965
watch,121,969,VERB,1090,121,0.11100917431192661,True,0.7858141660690308,6.184989929199219,8.418291091918945
love,498,582,VERB,1080,498,0.46111111111111114,True,0.8795492649078369,7.185939788818359,8.542402267456055
stop,74,996,VERB,1070,74,0.0691588785046729,True,0.8620171546936035,7.120083808898926,8.008028030395508
book,982,79,NOUN,1061,79,0.07445805843543826,True,0.7584351301193237,6.954909801483154,6.770725727081299
set,392,654,VERB,1046,392,0.37476099426386233,True,0.8141868710517883,8.518848419189453,9.833648681640625
order,860,151,NOUN,1011,151,0.1493570722057369,True,0.784850001335144,10.069618225097656,8.994684219360352
result,753,206,NOUN,959,206,0.21480709071949947,True,0.8103963732719421,9.410860061645508,9.879841804504395
act,647,274,NOUN,921,274,0.2975027144408252,True,0.7168343663215637,8.66516399383545,9.371902465820312
view,814,103,NOUN,917,103,0.11232279171210469,True,0.7818326950073242,8.531142234802246,9.351408958435059
matter,586,296,NOUN,882,296,0.3356009070294785,True,0.8344758152961731,8.963329315185547,7.235290050506592
back,779,89,NOUN,868,89,0.10253456221198157,True,0.7527940273284912,8.02833080291748,10.085274696350098
lead,109,743,VERB,852,109,0.12793427230046947,True,0.7264186143875122,7.353408336639404,10.28834342956543
answer,488,355,NOUN,843,355,0.4211150652431791,True,0.9162134528160095,6.48398494720459,7.342818737030029
fall,69,759,VERB,828,69,0.08333333333333333,True,0.8628271818161011,8.424144744873047,9.294184684753418
sound,326,499,VERB,825,326,0.39515151515151514,True,0.8955342173576355,7.563395977020264,8.706589698791504
light,689,129,NOUN,818,129,0.15770171149144255,True,0.725612223148346,7.270401477813721,8.78070068359375
process,720,91,NOUN,811,91,0.11220715166461159,True,0.852785050868988,7.133653163909912,8.185639381408691
lie,85,702,VERB,787,85,0.10800508259212198,True,0.7289520502090454,7.650949478149414,10.04358959197998
drink,460,325,NOUN,785,325,0.4140127388535032,True,0.8721669912338257,6.363285541534424,9.093347549438477
cause,240,539,VERB,779,240,0.3080872913992298,True,0.7879894971847534,8.257641792297363,9.95023250579834
mark,566,200,NOUN,766,200,0.26109660574412535,True,0.7318016290664673,7.685574054718018,8.781282424926758
age,696,61,NOUN,757,61,0.08058124174372523,True,0.8428136706352234,8.693629264831543,9.236878395080566
wonder,65,684,VERB,749,65,0.08678237650200267,True,0.9405912160873413,8.036027908325195,8.617094993591309
miss,320,420,VERB,740,320,0.43243243243243246,True,0.6055955290794373,6.899479866027832,8.918224334716797
control,519,182,NOUN,701,182,0.25962910128388017,True,0.9022409915924072,7.374659538269043,8.277983665466309
hope,114,581,VERB,695,114,0.16402877697841728,True,0.8597241640090942,8.07477855682373,9.044724464416504
smile,219,476,VERB,695,219,0.31510791366906477,True,0.903550386428833,6.614682674407959,7.524621486663818
